occupation_item_id	occupation_counts	en_label	en_description
602507	2	hand-to-hand combat	fight using mostly hands rather than weapons
916292	96	scribe	person who writes books or documents by hand as a profession
6901699	13	monologist	solo artist who recites or gives dramatic readings from a monologue, soliloquy, poetry, or work of literature, for the entertainment of an audience
46475908	11	marketing executive	
5905231	9	horror host	type of television presenter
5533732	2	Gentleman detective	type of fictional character
948692	65	manga gensakusha	story writer for manga
43184282	6	landscaper	professional who specialises in landscaping
179294	215	eunuch	castrated male human
33083143	4	Eskimologist	
63755505	442		
19414043	5	Bishop of St Asaph	office in the Church in Wales
4809023	1	Assistant Secretary of the Air Force	
50655731	9	lens designer	
1177007	10	prothonotary	historical profession
5950039	1	Hustling	social practice
15980648	1	international affairs commentator	
15980629	2	Romani rights activist	
658404	17	letterer	member of a team of comic book creators responsible for drawing the comic book's text
26821391	12	office manager	profession
162193	1	street sweeper	clean up the streets by machine or manually, an environmental protection movement
16632551	2	ranger	guardian of a protected area
12087689	12	wāli	administrative title that was used during the Caliphate and Ottoman Empire to designate governors of administrative divisions
3080443	28	preschool teacher	profession
2963953	19	chiropractor	
50822034	1		
53471584	7	software tester	Software testers perform software tests. They may also plan and design them. They may also debug and repair software although this mainly corresponds to designers and developers. They ensure that applications function properly before delive
40966043	5	porcelain maker	profession producing or decorating visual works made of porcelain, which is an impermeable translucent ceramic material
24309558	151	stationer	seller of stationery, either retail or wholesale
509028	1	ranch	area of landscape used for ranching
334473	8	Division manager	
869095	4	brewing	production of beer
14406508	5	bow maker	person who builds, repairs, and restores ancient or modern bows for instruments of the violin family
472760	1	antique	old collectable item
15283040	38	Orthodox bishop	highest spiritual office within the Eastern Orthodox Church
3502507	1	Subedar	
11739	1	Lahore	capital of the Punjab Province
27890911	7	second unit director	
1553195	8	party leader	leading official of a political party
3432666	5	epileptologist	physician specializing in epileptology
1370385	1	heir presumptive	Person who is first in line of succession, but could change due to birth of another heir
28008159	7	fashion blogger	
55611490	5	fashion influencer	Person who influences fashion through social media
55223626	1	municipal architect	
3479346	2	wushu	A type of Chinese martial arts
2399424	29	technical director	te
1365155	14	jinete	
58841163	3	Paralympic competitor	sportsperson partcitipating in Paralympic Games
425060	1	Road	Wikimedia disambiguation page
206987	1	vibraphone	musical instrument
60538989	42	slovenist	
15686806	72	senator	member of a senate, usually the upper house of a legislature
58209937	34	history teacher	profession
170384	3	operetta	opera genre
26700841	36	Scandinavian studies scholar	
20726620	3	knife thrower	
5403434	121	ethicist	moral principle analyst
187668	3	emigration	act of leaving one's country or region with the intent to settle permanently or temporarily in another
4657217	29	municipal executive	member of the city executive board
11827483	5	ordinary professor	
1039099	126	tour guide	person who provides information and heritage interpretation to tourists
20179720	55	polonist	person who studies Polish language and culture
7160407	5	Peer of the realm	
2621182	3	culture minister	minister in a government with responsibility for cultural affairs
291	2	pornography	explicit portrayal of sexual acts and intercourse on media
185902	8	viscount	nobility title
16887667	1	Panelist	
11305911	3		
3286049	11	plus-size model	an individual of average to larger stature (sometimes but not exclusively overweight or obese) who is engaged primarily in modeling plus-size clothing
30279388	4	coffee grower	person who produces coffee
16670609	2		
7820253	2	field marshal	rank in the German Army
10959726	2		
6884071	12	mixing engineer	person responsible for mixing the different sonic elements of a piece of recorded music into a final version of a song
1742253	14	movie theater operator	person who works in a movie theater
3708947	4	Director	Wikimedia disambiguation page
217123	97	oracle	in classical antiquity, person or agency considered to provide wise and insightful counsel or prophetic predictions or precognition of the future
280447	20	Carnivalesque	culturological concept
3744886	2	fashion figure artist	artist who draws croquis
11666059	1	Retainers in early in early China (social group)	
46698605	9		
50118159	6	postal official	non specific post office worker
10691685	2		
1089801	9	financial planner	profession
1192147	1	Habitat for Humanity	Nonprofit organization
8434	13	education	learning in which knowledge and skills are transferred through teaching
188473	11	action film	film genre
13218731	5	Písmáci	
11386386	505	haiku poet	poet who writes haikus
877955	2	deputy prime minister	civil servant position
1050320	1	Consort clan	kin of empress dowagers of China
25680882	32		
50178397	5	Makedonomachos	
19828939	12	contortionist	
44177151	7		
1365552	26	sacristan	officer charged with care of the sacristy, the church, and their contents
1071	11	geography	science that studies the terrestrial surface, the societies that inhabit it and the territories, landscapes, places or regions that form it when interacting with each other
11620676	1009	rakugoka	performer of rakugo
29206865	7	sardana dancer	person who dances sardana
847689	7	artist	types of artists, in Japanese/Korean/Vietnamese (?)
2867219	21	production assistant	person responsible for various aspects of a film or TV production
60523	9	Kannushi	The person responsible for the maintenance of a Shinto shrine (神社 jinja) as well as for leading worship of a given kami
3247461	6	ambulance driver	profession; person driving an ambulance
185529	5	pornographic film	film genre that depicts unsimulated sex activity as the central part of story
1366909	54	soccer commentator	profession
11598549	533	boat racer	one who races boats
31207	6	health care	prevention of disease and promotion of wellbeing
52008305	40	mixed martial arts referee	
8355	4	violin	bowed string instrument, usually with four strings tuned in perfect fifths
2928765	16	Busshi	Japanese sculptor
2425502	7	onnagata	male actors who impersonate women in Japanese kabuki theatre
1552832	4	budoka	practitioner of Japanese martial arts
907647	8	gyōji	referee in professional sumo wrestling
61065	1	water sport	sports that take place in or on water
1359551	15	Office lady	
26848923	33	bioengineer	occupation
11614001	2	funadon'ya	cargo vessel wholesaler
51253856	6	Yoshimotozaka46	
11631766	3	assistant trainer	
11565465	9	enka singer	
20743434	27	unit still photographer	person who takes photographs to document activity on a film set
11500768	105	cooking expert	person who writes about cooking
3842067	119	orthodontist	person who works in orthodontics
12886381	3	Prince	son of an emperor
2928221	1	Nanga	school of Japanese painting
694579	15	farrier	specialist in equine hoof care, including the trimming and balancing of horses' hooves and the placing of shoes on their hooves
23672693	9	animal protectionist	someone active in animal protectionism
13432011	1	Jizamurai	
23452173	18	pétanque player	person that plays pétanque (competitively)
192401	1	fountain pen	writing implement
524980	4	commander	rank within military orders of knighthood
76451740	20	fictional housemaid	housemaid only appearing in works of fiction
1791845	161	cultural worker	occupation in cultural and artistic (re)production
9304942	11		
762289	1	Papal chamberlain	
913404	32	Doctor of Medicine	postgraduate medical degree
2125610	104	cyclist	person who rides a bike
1414937	43	combatant	person who takes a direct part in the hostilities of an armed conflict
1320458	2	ice sailing	winter sport
21000481	4	kinetic artist	artist who practices kinetic art
2384944	6	ringmaster	circus performer
13311320	20	court counsel	member of a royal court; adviser to a King or Queen
2391699	34	jazz violinist	person who plays the jazz violin
1410101	9	pyrotechnist	occupation
10335982	3	negotiator	person who negotiates
868069	7	tenant farmer	person residing on and farming land owned by a landlord
27177003	33	research professor	a full professor who focuses on research
1072364	2	chief research officer	corporate title
5819949	31	social educator	
11939963	52	pancratiast	
5657876	2		
15215592	5	lawyer - court specialist	
17310301	1	bill of indictment	formal accusation that a person has committed a crime
3909815	1	praefectus fabrum	
305016	2	decemviri	commission in the Roman Republic
3564543	3		
4231368	29	Wali	"Arabic word meaning ""custodian"", ""protector"", ""helper""; not to be confused with Wāli"
23957323	34		
64698724	6	technical architect	
212624	16	legatus	general in the Roman army
27518	3	Cursus honorum	the order of public offices held by politicians in Ancient Rome
55375123	6	king of Rome	the chief magistrate of the ancient Roman Kingdom (for the medieval German title, use Q782985)
186506	32	mezzo-soprano	type of classical female singing voice whose vocal range lies between the soprano and the contralto voice types
2918463	23	engineering technician	specialist who is trained in the skills and techniques related to a specific branch of engineering
2067634	36	quantity surveyor	profession in the building trade
49814927	1	Bishop of Barcelona	prelate who governed the Spanish diocese of Barcelona until its elevation to the archdiocese in 1964
1072304	3	chief investment officer	
416718	26	vagrant	person, often in poverty, who wanders from place to place without a home or regular employment or income.
520895	26	boilermaker	profession
67529900	2	public health nurse	nurses whose goal is to improve health and quality of life in a population or community
26759595	85	communication scholar	
618786	4	inline speed skating	roller sport of racing on inline skates
30093119	12	senior researcher	professional role
1553123	93	Lector	academic degree
24041571	7	tax inspector	profession
363802	10	doctoral advisor	Person who supervises the doctoral research of a graduate student
2884229	3	Barbouze	
12051030	8	choral conducting	
2518689	71	healer	unlicensed person who practices the art of healing using traditional practices, herbal remedies and even the power of suggestion
60286963	10	hermeticist	
30103103	1		
59273517	8	photography historian	historian of the art and science of photography
26903663	29	arts administrator	administrator in the cultural field
4225125	1	Kobzar	Village in Vasylkivka Raion, Dnipropetrovsk Oblast, Ukraine
4854747	32	bandurist	musician who plays the bandura
72195679	1		
696645	3	Court councillor	title used in the Russian Empire
3606845	3	agricultural science	academic field
21002343	50	petroleum engineer	profession
10341105	45	sound operator	profession
1851760	11	victim	person who suffers as a result of a crime or other event
4114562	4		
50333861	18	pysankar	ukrainian ethnic occupation, artists that produces pysanka
673566	2	Mujtahid	title
1410729	3	Sheikh-ul-Islam	honorific title in the classical era for outstanding scholars of the Islamic sciences
936371	8	rhapsode	historical profession
53121	11	cycling	riding a bicycle
12257594	5		
48519	2	sport management	field of education concerning the business aspects of sports and recreation
27062049	27	aizkolari	person who competes in Aizkolaritza (Basque competitive wood-chopping)
27062349	35	harri-jasotzailea	basque stone lifter
3322355	5	Mugalari	Basque word used to designate people who help others cross the border between France and Spain, mainly for political reason
19968805	5	spinner	profession that involves spinning fibres
179098	1	parapsychology	study of paranormal and psychic phenomena
8162	19	linguistics	study of human language
2385557	1	landscape science	study of terrestrial landscapes
10486	6	Pictor	constellation in the southern celestial hemisphere
20056508	35	Ancient Roman senator	
629712	19	consul suffectus	
1255041	6	logothete	administrative title originating in the eastern Roman Empire
59597	3	protosyncellus	principal deputy of the bishop of an eparchy
496969	3	interpreter officer	
1430627	1	Snake charming	profession
13729047	1		
460628	21	attending physician	attending physician
12344026	8		
12713605	1		
12313165	4	attorney-in-fact	person authorized to legally act on behalf of someone else
2903406	33	Master of Science in Engineering	Graduate degree in engineering
17048963	1	Advokat	lawyers who practise in the Nordic countries
12311797	9	folkeskole teacher	
159964	7	typography	art and craft of printing and the arranging of layouts
12311817	9	member of the Folketing	member of Danish parliament
1265001	11		
7519600	18	ordination	religious process by which individuals are consecrated as clergy
20531359	2		
12368369	3		
349	19	sport	forms of competitive activity, usually physical
2445218	15	goalkeeper coach	
58686647	1	Museum Management and Curatorship	
20203031	2	Crown rabbi	Russian-Empire Jewish communal position
2920921	15	management	administration of an organization, including activities to set the strategy of an organization and coordinate employees to accomplish its objectives
647908	1		
327591	34	independent politician	individual not affiliated to any political party
11968471	1		
21546358	17	Chief of Police	Police ranks in Scandinavian countries
13408719	2		
60027184	10	belt maker	
2467532	17	exorcist	person who is believed to be able to cast out the devil or other demons
506126	9	chimney sweep	person who cleans chimneys
53785835	2	Food Technologist	profession; food technology engineer
11839786	2		
59917804	15	mountain rescuer	
47498464	6	model builder	
28813	4	fraud	intentional deception made for personal gain or to damage another individual
11639	9	dance	rhythmic movement of the body
48575910	17	fireship captain	
59107712	9		
679502	10	Armatoloi	ottoman security personnel
56260987	15		
1969425	28	national team coach	
4830453	22	business	organization involved in commercial, industrial, or professional activity
209572	5	military service	Performing the service in the armed forces of a state
19468152	1	Member of the Kerala Legislative Assembly	political position in India
71054529	2	balladeer	a singer or reciter of ballads
2251260	138	school inspector	education supervisor
131375	2	shogi	chess variant native to Japan
21484199	215	ostracodologist	scientist working within the field of ostracodology
46984315	43	quilter	person who practises quilting
45725048	23	anti-nuclear activist	
2962020	28	station master	person in charge of a railway station
718927	13	physician assistant	profession
319341	3	notary's assistant	profession, assistant to a notary
848466	49	courier	Company that performs long-distance or international rapid transports and delivery on behalf of third parties delivering messages, packages, and mail.
1623209	14	Hofmarschall	
267789	2	Feldzeugmeister	
2639146	1		
8313	14	special effects supervisor	individual who works on a commercial, theater, television or film set creating special effects
11937692	8	Mosso d'Esquadra	
26697317	1	mayor of Herrín de Campos	political position in Spain
19513109	73	Dutch language specialist	
3430033	35	abbé	title for lower-ranking Catholic clergymen in France
45217546	25	Instagram blogger	blogger working on Instagram blog
1261521	9	switchboard operator	profession
43095928	42	conchologist	zoologist who studies mollusc shells
2994440	38	Heritage curator	
685629	2	birdwatching	hobby
4182948	4	holder of a chair in a university	
1203797	6	bicycle messenger	craft
21491495	61	nematologist	scientist studying nematology
12483	2	statistics	study of the collection, organization, analysis, interpretation, and presentation of data
85708	1		river in Russia
718660	13	Privy Councillor	civil position in the Russian Empire
1934482	43	milkmaid	girl or woman employed to milk dairy cows
50998292	3	works manager	profession
16270914	3	Bürstenbinder	Beruf
18274570	1	Maid of the Bedchamber	
15275006	1	Human Rights Commissioner	New Zealand's Human Rights Commissioner
10813665	2	Praporshchik	
20799401	3	Organista	Wikimedia disambiguation page
27057352	123	co-producer	producing member
26233771	31	building researcher	
45916492	24	co-founder	co-founder of an institution
1601531	5		profession
675913	9	Procuration	
28834881	4	computer animator	animator using computer graphics to create moving images
16538479	13	Lehrbeauftragter	German academic title; associate lecturer (Lehrbeauftragter)
191839	1	aerial photography	taking images of the ground from the air
221488	1	pedestrian	person traveling on foot
16742203	61	planetary scientist	
987971	5		profession
14211	3	Prime Minister of the United Kingdom	head of Her Majesty's Government in the United Kingdom
22230757	1	Deputy of the National Congress of Ecuador	
2975883	4	violin making and maintenance	
205178	2	child prodigy	person who, at an early age, develops one or more skills at a level far beyond the norm for their age
830337	32	prior	ecclesiastical title for a monastic superior
6859454	141	web developer	programmer who specializes in, or is specifically engaged in, the development of World Wide Web applications
26936818	116	spongiologist	scientist who studies sponges
15980704	10	matchmaker	person who engages in matchmaking, sometimes as a profession
28790169	15	unemployed	person who doesn't work, but usually has no limitations to get employed
4904039	2	United States Army Rangers	
1548249	13	software architect	profession
14620	2	optics	branch of physics concerning light
20671815	1	Grand Mestre of the Order of Malta	
28129958	12	design engineer	engineer or technician involved in the planning of technical systems
44455	1	game theory	branch of mathematics focused on strategic decision making
4736389	4		
1027930	42	webcam model	video performer who streams online via webcam
478515	1	ball	dance party
1895303	7		
1688932	17	Jiedushi	regional military governor function.
28923514	1		
17991368	4		
2994367	20	Councillor of State	position in France
3408928	2	Maritime Prefect	
2874317	4	bird breeder	
791316	40	avoué	profession
2990138	1	Compagnie du chemin de fer métropolitain de Paris	
2047357	20	trustee	person who holds property, authority, or a position of trust or responsibility for the benefit of another
20794925	98	college head	administrative head of an educational college
29167936	23	factory inspector	occupation
16529590	120	environmental scientist	
1798619	1	Lipscomb University	university in Nashville, Tennessee
707995	6	seaman	lowest rank in navy
7438308	3	football scout	
50768646	6	labor leader	leader of labor activists
776268	7	arborist	professional who cares for trees
540672	1	Auburn University	public university in Auburn, Alabama, United States
457281	1	University of Illinois at Urbana–Champaign	public research university in Urbana and Champaign, Illinois, United States
6041302	23	neuropsychologist	person who practices neuropsychology
21849766	37	heiress	female beneficiary of an inheritance (in the context of the historical practices of the nobility)
6484023	34	land agent	profession
13608061	24	registered nurse	nurse who graduated from a nursing program and passed a national licensing exam
48145595	3	electrophysiologist	person practicing electrophysiology
5230427	27	member of a legislative assembly	representative of voters to a regional legislature
5683605	3	Maddahi	
45353897	25	qu writer	
12592397	1	Minister of Patriots and Veterans Affairs	Minister of Patriots and Veterans Affairs (South Korea)
16179389	1	Governor of North Jeolla Province	Local government head in South Korea
53474871	2	satellite engineer	Satellite engineers develop, test and oversee the manufacture of satellite systems and satellite programmes. They may also develop software programs, collect and research data, and test the satellite systems. Satellite engineers can also de
654776	2	Sadhu	religious ascetic or holy person in Hinduism
1509440	87	embroiderer	professional doing embroidery
16271428	58	embryologist	profession
4287745	1	medical organization	organization which supports the field of medicine
9008257	6	arsonist	person committing arson
80019	4	double bass	acoustic stringed instrument of the violin family
19768301	24	market researcher	profession
20879352	4	psephologist	political scientist specializing in the study of elections
19772737	2104	political candidate	candidate in an election for political office
58442624	14		
21141393	46	heptathlete	athlete competing in track and field heptathlons
56479336	1	Therapist	
5532366	7	general manager	general manager in a basketball context (specifically NBA and WNBA)
23663603	31	acupuncturist	
2737671	9	banderillero	
56027890	6	political staffer	person who supports a political candidate or an elected official
691522	208	construction foreman	worker or tradesman who is in charge of a construction crew
2045507	9	offensive coordinator	coach responsible for the offense on a gridiron football team
17014120	1	flight surgeon	military aviation medical examiner
18922761	8	white hat	computer hacker who hacks ethically
53868331	1	baton twirler	person engaging in baton twirling
3029421	29	director of publication	
28061729	1	French ambassador	
1416754	13	youth worker	person who works in community support for young people
55064843	5		
3867028	2	Rōkyoku	genre of traditional Japanese narrative singing
811449	4	Baul	intangible cultural heritage
2329	5	chemistry	branch of physical science concerned with the composition, structure and properties of matter
2823762	1	Actor	
12080077	2	cotton growing	
2495709	7	Gusans	
23011769	1	Flottillenadmiral	
7216332	1	forecasting	process of making predictions of the future based on past and present data and most commonly by analysis of trends
4229435	34	harvester	someone who brings in the harvest
36380	13	Society of Jesus	male religious congregation of the Roman Catholic Church
47526273	3	Companion	fictional profession
2917380	30	fugitive	person who is fleeing from custody
932821	8	Civil Guard (Spain)	gendarmerie branch of Spain's armed forces
51174991	8		
48975839	19	firearms designer	person who designs firearms
402781	1	Tutor	Wikimedia disambiguation page
10301984	15	indigenist	
10438272	4		
10548383	6	Costume coordinator	
838260	4	ricohombre	
1344452	21	discoverer	subclass of researcher
1247105	1	Singjay	
1369991	10	deejay	"reggae or dancehall musician who sings and ""toasts"" to an instrumental riddim rhythm"
56871006	2		
50932178	8	religion sociologist	profession
10655178	11	member of the Swedish Riksdag	member of the Swedish Parliament
10611691	1		
1349660	2	extraction of petroleum	removal of petroleum from the earth
29963186	1		
382844	5	Governor-general	vice-regal representative of a monarch in an independent realm or a major colonial state
11494960	37	infectious disease physician	physician specialised in infectiology
193592	3	midfielder	association football position played on both ends of the field
3580098	25	specialized educator	
21002290	70	Ingeniero	profession
57557390	4	Author	Haider i Mohsin , Academic Writer , Author , Screen Writer
3609	9	road bicycle racing	bicycle racing sport
11962693	7		
177529	9	burgomaster	archaic term for a mayor
38883	25	cooper	maker of staved vessels such as barrels
19801630	33	gendarme	member of a gendarmerie
35380338	35	hydrogeologist	earth scientist that studies ground water
7099403	2	oral storytelling	tradition between the storyteller and their audience
1104185	8	coaching	form of development
42297530	6	keynote speaker	person who delivers a talk on the main theme of an event
3285472	3	Official receiver	
5354399	1	County magistrate	public office in imperial China
1248771	3	Praeses	profession
178678	2	kickboxing	group of stand-up combat sports based on kicking and punching
193432	53	fan	person who is enthusiastically devoted to something or someone
1183704	155	decoration painter	profession
24058676	57	agriculturist	profession concerned with studying and publicising agricultural methods
2026557	19	offender profiler	
1662673	2	gender studies	interdisciplinary field of study
34749	1	social science	academic discipline concerned with society and the relationships
9465	1	ethics	branch of philosophy that systematizes, defends, and recommends concepts of right and wrong conduct
913727	1	Rinpoche	honorific used in Tibetan Buddhism
7579842	2	sports director	individual at a television or radio station who is in charge of the sports department
22343406	26	media artist	artist who  works with media
56885102	38	sledge hockey player	person who plays sledge hockey
3659898	7	chief communications officer	head of communications in an organization
19385508	5	detective	a member of the police force
2640734	11	reindeer herding	the practice of herding reindeer in a limited area
55594106	8	rallycross driver	person driving rallycross competitions
1125292	57	postdoctoral researcher	person professionally conducting research after the completion of their doctoral studies
708800	12	medical laboratory scientist	healthcare professional
4588801	4	government scholar	position awarded by the Parliament of Norway
11971378	31	associate professor	academic rank in Norway
23719050	45	boccia player	person playing boccia
11960880	4		
11606844	9	Buddhist painter	profession
63765	2	Gokenin	vassal of the shogunate
11638475	1	Ōmi Shonin	
4376769	24	university president	chief executive officer of a university
570755	20	dispatcher	communications personnel responsible for receiving and transmitting messages, tracking vehicles and equipment, and recording other important information
11948179	1		
1253946	5		profession
113109	6	fashion tailor	profession of tailoring, which deals with the design and manufacture of garments
1433105	6	corsetmaker	profession
453181	2	brand management	analysis and planning on how a brand is perceived in the market
16312408	23	etymologist	person who practices etymology
74852689	2	turner	
6497044	2	history of literature	The development of writing within civilizations
2301136	6	Special educator	
243748	1	bacteriology	study of bacteria
47528951	1		
21625815	10	melomaniac	person with an abnormal fondness of music
28344495	12	computer security consultant	profession
15709480	38	computational biologist	
42625830	20	prospector	person engaged in small-scall exploration for minerals
1066582	11	fine-art photography	photography genre, created in accordance with the vision of the artist as photographer and with subjective intent
2296367	27	superintendent	head of an administrative division of a Protestant church
61387921	4	turntablist	person who creates music by manipulating phonograph records playing on turntables
1202190	1	financial engineer	practitioner of financial engineering
1555506	2	gunner	military rank
3526736	1	combinatorial group theory	theory of free groups, and the concept of a presentation of a group by generators and relations.
57749966	76	beach handball player	sportsperson who plays beach handball
1785771	3		
1068947	19	chief physician	physician in a senior management position
1395592	7		profession
52386692	4	political geographer	scholar whose area of study is political geography
864826	1	biostratigraphy	
2561741	4	crane driver	occupation
27849290	41		
19315421	1	purchaser	
1664236	9	Master of Requests	
1133920	11	minister plenipotentiary	
12034011	1		play written by Karel Čapek
215501	2	pedology	study of soils in their natural environment
236979	18	shipbroker	intermediary between shipowners and charterers who use ships to transport cargo, or between buyers and sellers of vessels
28053377	2	airline executive	manager for an airline
11771944	7	civil service	branch of governmental service or employees of a government agency
4120955	2	First Lady of Colombia	
28971990	1		
788451	1	author citation	refers to citing the person (or group of people) who validly published a zoological name
53554997	14	historian of chemistry	
1078096	13	Unlicensed assistive personnel	paraprofessionals who assist with bedside care under the supervision of a registered nurse
379755	21	arrangement	musical composition in altered form
3253688	2		Wikimedia list article
965834	1	Znamenny chant	musical form
421706	1	Rich	Wikimedia disambiguation page
57398663	15	administrative lawyer	
477190	2	postulator	person who guides a cause for beatification or canonization through the judicial processes required by the Roman Catholic Church
15055248	1	poruchik	officer rank in the lieutenant's rank group in Slavophone armed forces
4076591	4	ballet studies	discipline of dance studies
59924426	3	oil painter	
15059883	24	eye surgeon	surgeon who performs eye surgery
69777789	9	Delftware master	expert maker of Delftware and officieel member of St. Luke guild
70012103	10	Owner of a Delftware pottery workshop	person who own a Delftware pottery workshop
64446106	1		
4233220	3	master	historic term for a ship's officer
24073542	2	glover	occupation, maker of gloves
3151611	12		
16009380	5	Procureur de la République	position
382617	8	mayor	mayor in France
1062433	7	Chanteuse	
180502	1	parasitology	branch of biology that studies parasites, their hosts, and the relationship between them
15928033	3	Actor Singer Giver	
20078556	2		
34178	14	theology	study of the nature of God and religious belief
9174	3	religion	sacred belief system
12794002	8		
181901	1	Romanian Orthodox Church	Christian Orthodox-oriented denomination in Romania
52231239	56	Archaeologist of the Middle Ages	
73185885	1		
1440873	32	showrunner	person who is responsible for the day-to-day operation of a television show
11897839	6	organization leader	administrative position in Finnish associations
448553	2	surgical technologist	profession
47143664	2		
9867473	1	The Assassin	1967 film by Chang Cheh
4618975	15	Doctor of Science	honorific title for a holder of a doctoral degree
1025392	1	Caeretan hydria	
21550382	23	bagpiper	musician who plays the bagpipes
152074	1	bankruptcy	legal status of a person or other entity that cannot repay the debts it owes to creditors
21009864	25	violin maker	maker of bowed string instruments
27926658	1	trip advisor	occupation
903810	7	magnate	noble family
48803	3	horticulture	culture of plants, mainly for food, materials, comfort and beauty
790024	3	extrasensory perception	Reception of information via extra senses
10517163	2		
18710599	1		
18710603	1		
3780304	12	member of the general council	elected member of the local assembly of a French department (before March 2015)
27469950	3	laconian vase-painter	
12312049	1		
1750812	1	ergonomics	study of designing equipment and devices that fit the human body and its cognitive abilities
1898366	1	bioclimatology	
1138951	1	cognitive neuroscience	
52769526	43	parochus	Catholic priest in front of a Catholic parish
5178440	10	court reporter	profession
5166535	3	conveyancer	
1644347	13	audiologist	profession concerning audiology
21505859	28	ancient Greek potter	
23924989	25	distiller	owner of or worker at a distillery
134995	7	bibliography	
269323	1	natural philosophy	ancient philosophical study of nature and physical universe that was dominant before the development of modern science. It is considered to be the precursor of natural science
28869945	7	caterer	food professional who provides catering
256876	5	repentista	profession
2135588	2		
1229301	2	dissenter	one who disagrees in matters of opinion, belief, etc.
24698392	3	antiimperialist	person espousing anti-imperialism
2878105	9	energy engineer	
40637441	1		historical profession
2341687	1	Bow Street Runners	police force
358827	7	administrator	Wikimedia disambiguation page
18844279	29	marine engineer	occupation
13968	19	probation officer	supervises offenders released from incarceration
1240569	58	professor emeritus	retired university professor who maintains links with their former institution
11073	1	list of astronomers	Wikimedia list article
32860750	2	tachygraph	
1486543	14	canon	profession
27043448	16	Flemish professor	professor in the Flemish Community
27827744	23	management consultant	occupation
76888740	11	tapestry dealer	businessperson who buys and sells tapestries
1455	5	field hockey	team sport version of hockey played on grass or turf with sticks and a round ball
325380	5	Stadtholder	title used in parts of Europe
3008151	4	Cyber-dissident	person who voices political dissent on the Internet
27058542	7		
6102247	24	film or television director	
19542123	35	vice-chancellor	academic position
20725573	2	Geheimer Regierungsrat	
1221610	8	coachman	driver of a coach or carriage
5096974	1	chief content officer	executive responsible for content in broadcasting
1537665	2	Kaptein	Tribal chief in South and South-West Africa
23670153	27	president of a non-profit organisation	
155511	1	plant nursery	facility where plants are propagated and grown to usable size
816432	75	project manager	professional in the field of project management
31728	13	public administration	public leadership of public affairs directly responsible for executive action
751148	2	Congregation of the Most Holy Redeemer	Roman Catholic holy order
20103227	7		
41322966	2	iconographer	class of teologs
543	1	censorship	practice of suppressing speech or other public communication
2257662	4		
2141193	1		
26387816	2	carpet weaver	someone who creates carpets
8071177	2	landscape design	art tradition, practised by landscape designers, combining nature and culture
101333	12	mechanical engineering	engineering discipline and economic branch
28815523	94	coleopterist	person who is specialized in coleopterology
1489454	11	harbourmaster	official
7252	8	feminism	collection of movements and ideologies aimed at defining, establishing, and defending gender equality, including equal rights for women and girls
690928	27	Schultheiß	Historical occupation
895709	1		
19610203	1	Candidate of Medicine scientific	
395	5	mathematics	science of the structure of abstract objects such as numbers, spaces, functions and relations
28790199	12	defectologist	
1327003	5		profession
1577604	1	Regidor	Colombian municipality of the department of Bolívar
47494964	63	miniaturist	artist who creates works in miniature, such as paintings, photographs, furniture, and other objects
445162	3	Evangelist	Wikimedia disambiguation page
10401569	2		
47088052	2		
1639269	4	Focus puller	Photography
52181037	10	neighborhood activist	
23817608	11		
21328592	5	deputy	member of the Chamber of Deputies of the Luxembourg
66839062	3	savateur	
6241	1	patriotism	devotion to one's country
10265290	6	Brazilian state deputy	member of a Brazilian federal state Legislative Assembly
3757343	2	Jihadism	Western neologism to describe armed Islamic movements
25420150	1	State Authorized Public Auditor (Brazil)	protected work title in Brazil
67532601	5	Jihadi brides	women participating in love jihad
174416	5	herpetology	study of amphibians and reptiles
133805	5	epidemiology	study of the patterns, causes, and effects of health and disease conditions
4200997	4		
1371914	39	soloist	musician who emerges with their performance as an individual
12307965	27	debater	person who participates in a debate
16009129	56	magistrat	magistrate in the jurisdiction of France
29367579	3	bioacoustician	
26692360	1	mayor of Villasabariego	political position in Spain
1443775	3	hierophant	
38967	1	Herding dog	type of pastoral dog
9633356	6		
233053	5	bicycle mechanic	profession
1072339	7	chief marketing officer	highest ranking executive-level position focusing on marketing
1271335	4	Muhaqqaq	Arabic calligraphic script
5419944	1	executive president	president who exercises active executive power in an organization
59273465	7	deltiologist	
47532307	28	Rabbinic literature scholar	scholar especialised in Rabbinic literature
27334449	5	proctologist	
7097633	27	Ashik	Saz poets
520611	1	mountain biking	bicycling sport
125191	6	photograph	image created by light falling on a light-sensitive surface
214719	3	bibliophilia	love of books
47458415	9		
6407545	12	baccalaureate tenured teacher	
31687	46	baritone	type of classical male singing voice in middle range
4058249	1	Azerbaijan State Academy of Art	
11051391	24	envoy	diplomatic rank, head of a legation
695521	4	professional hunter	person who hunts and/or manages game by profession
1327130	58	electronics technician	profession
189409	3	lottery	gambling which involves the drawing of lots for a prize
7069608	2	numbers game	illegal lottery
3555971	17	Jules Verne specialist	
7450737	3	senior lecturer	
3796928	18	government employee	employee who works for a state
6805589	23	media consultant	
54855620	8	transcriber	one who contributes to a resource by changing it from one system of notation to another
6408486	2	shoemaking	process of making footwear
5131853	3	clerk	position of administrative function within the Religious Society of Friends (Quakers)
20757589	15	aerodynamicist	specialist (scientist, engineer) skilled in aerodynamics
953355	1	Norroy and Ulster King of Arms	Officers of Arms of the College of Arms of the United Kingdom
