item_id	occupation_count	occupation	description	in_google_news	language_detected	source	label	labeled_by	label_error_reason
3708947	4	Director	Wikimedia disambiguation page	1	la	wikidata	1	human	
217123	97	oracle	in classical antiquity, person or agency considered to provide wise and insightful counsel or prophetic predictions or precognition of the future	1	fr	wikidata	1	human	
280447	20	Carnivalesque	culturological concept	0	ia	wikidata	-1		
3744886	2	fashion figure artist	artist who draws croquis	0	en	wikidata	-1		
11666059	1	Retainers in early in early China (social group)		0	en	wikidata	-1		
50118159	6	postal official	non specific post office worker	0	en	wikidata	1	human	
1089801	9	financial planner	profession	0	da	wikidata	-1		
1192147	1	Habitat for Humanity	Nonprofit organization	0	en	wikidata	-1		
8434	13	education	learning in which knowledge and skills are transferred through teaching	1	et	wikidata	0	human	
188473	11	action film	film genre	0	en	wikidata	-1		
13218731	5	Písmáci		0	cs	wikidata	-1		
11386386	505	haiku poet	poet who writes haikus	1	Unknown	wikidata	1	human	
877955	2	deputy prime minister	civil servant position	0	ia	wikidata	-1		
1050320	1	Consort clan	kin of empress dowagers of China	0	fr	wikidata	-1		
50178397	5	Makedonomachos		0	Unknown	wikidata	-1		
19828939	12	contortionist		1	en	wikidata	1	human	
1365552	26	sacristan	officer charged with care of the sacristy, the church, and their contents	1	kw	wikidata	1	human	
1071	11	geography	science that studies the terrestrial surface, the societies that inhabit it and the territories, landscapes, places or regions that form it when interacting with each other	1	en	wikidata	0	human	
11620676	1009	rakugoka	performer of rakugo	0	rn	wikidata	-1		
29206865	7	sardana dancer	person who dances sardana	0	da	wikidata	-1		
2867219	21	production assistant	person responsible for various aspects of a film or TV production	0	fr	wikidata	-1		
60523	9	Kannushi	The person responsible for the maintenance of a Shinto shrine (神社 jinja) as well as for leading worship of a given kami	0	vo	wikidata	-1		
3247461	6	ambulance driver	profession; person driving an ambulance	0	da	wikidata	-1		
185529	5	pornographic film	film genre that depicts unsimulated sex activity as the central part of story	0	ia	wikidata	-1		
1366909	54	soccer commentator	profession	0	ia	wikidata	-1		
11598549	533	boat racer	one who races boats	0	Unknown	wikidata	-1		
31207	6	health care	prevention of disease and promotion of wellbeing	1	en	wikidata	0	human	
52008305	40	mixed martial arts referee		0	en	wikidata	-1		
8355	4	violin	bowed string instrument, usually with four strings tuned in perfect fifths	1	gl	wikidata	0	human	
2928765	16	Busshi	Japanese sculptor	0	kk	wikidata	-1		
2425502	7	onnagata	male actors who impersonate women in Japanese kabuki theatre	0	rn	wikidata	-1		
1552832	4	budoka	practitioner of Japanese martial arts	0	sr	wikidata	-1		
907647	8	gyōji	referee in professional sumo wrestling	0	kw	wikidata	-1		
61065	1	water sport	sports that take place in or on water	0	nl	wikidata	-1		
1359551	15	Office lady		0	en	wikidata	-1		
26848923	33	bioengineer	occupation	1	Unknown	wikidata	1	human	
11614001	2	funadon'ya	cargo vessel wholesaler	0	tr	wikidata	-1		
51253856	6	Yoshimotozaka46		0	tr	wikidata	-1		
11631766	3	assistant trainer		0	fr	wikidata	-1		
11565465	9	enka singer		0	Unknown	wikidata	-1		
20743434	27	unit still photographer	person who takes photographs to document activity on a film set	0	en	wikidata	-1		
11500768	105	cooking expert	person who writes about cooking	0	en	wikidata	-1		
3842067	119	orthodontist	person who works in orthodontics	1	af	wikidata	1	human	
12886381	3	Prince	son of an emperor	1	fr	wikidata	1	human	
2928221	1	Nanga	school of Japanese painting	1	tl	wikidata	0	human	
694579	15	farrier	specialist in equine hoof care, including the trimming and balancing of horses' hooves and the placing of shoes on their hooves	1	de	wikidata	1	human	
23672693	9	animal protectionist	someone active in animal protectionism	0	en	wikidata	-1		
13432011	1	Jizamurai		0	rn	wikidata	-1		
23452173	18	pétanque player	person that plays pétanque (competitively)	0	oc	wikidata	1	human	
192401	1	fountain pen	writing implement	1	en	wikidata	0	human	
76451740	20	fictional housemaid	housemaid only appearing in works of fiction	0	en	wikidata	-1		
1791845	161	cultural worker	occupation in cultural and artistic (re)production	0	en	wikidata	-1		
762289	1	Papal chamberlain		0	fr	wikidata	1	human	
913404	32	Doctor of Medicine	postgraduate medical degree	0	en	wikidata	-1		
2125610	104	cyclist	person who rides a bike	1	de	wikidata	1	human	
1414937	43	combatant	person who takes a direct part in the hostilities of an armed conflict	1	fr	wikidata	1	human	
1320458	2	ice sailing	winter sport	0	en	wikidata	-1		
21000481	4	kinetic artist	artist who practices kinetic art	0	en	wikidata	-1		
2384944	6	ringmaster	circus performer	1	sv	wikidata	1	human	
13311320	20	court counsel	member of a royal court; adviser to a King or Queen	0	fr	wikidata	-1		
2391699	34	jazz violinist	person who plays the jazz violin	1	de	wikidata	1	human	
1410101	9	pyrotechnist	occupation	0	cs	wikidata	-1		
10335982	3	negotiator	person who negotiates	1	it	wikidata	1	human	
868069	7	tenant farmer	person residing on and farming land owned by a landlord	0	fr	wikidata	-1		
27177003	33	research professor	a full professor who focuses on research	0	en	wikidata	-1		
1072364	2	chief research officer	corporate title	0	en	wikidata	-1		
5819949	31	social educator		0	ia	wikidata	-1		
11939963	52	pancratiast		0	Unknown	wikidata	-1		
15215592	5	lawyer - court specialist		0	en	wikidata	-1		
17310301	1	bill of indictment	formal accusation that a person has committed a crime	0	en	wikidata	-1		
3909815	1	praefectus fabrum		0	la	wikidata	-1		
305016	2	decemviri	commission in the Roman Republic	0	Unknown	wikidata	-1		
4231368	29	Wali	"Arabic word meaning ""custodian"", ""protector"", ""helper""; not to be confused with Wāli"	1	Unknown	wikidata	0	human	
64698724	6	technical architect		0	en	wikidata	-1		
212624	16	legatus	general in the Roman army	0	la	wikidata	-1		
27518	3	Cursus honorum	the order of public offices held by politicians in Ancient Rome	0	la	wikidata	-1		
55375123	6	king of Rome	the chief magistrate of the ancient Roman Kingdom (for the medieval German title, use Q782985)	0	en	wikidata	-1		
186506	32	mezzo-soprano	type of classical female singing voice whose vocal range lies between the soprano and the contralto voice types	0	it	wikidata	-1		
2918463	23	engineering technician	specialist who is trained in the skills and techniques related to a specific branch of engineering	0	en	wikidata	-1		
2067634	36	quantity surveyor	profession in the building trade	1	ca	wikidata	1	human	
49814927	1	Bishop of Barcelona	prelate who governed the Spanish diocese of Barcelona until its elevation to the archdiocese in 1964	0	en	wikidata	-1		
1072304	3	chief investment officer		0	en	wikidata	-1		
416718	26	vagrant	person, often in poverty, who wanders from place to place without a home or regular employment or income.	1	hu	wikidata	1	human	
67529900	2	public health nurse	nurses whose goal is to improve health and quality of life in a population or community	0	en	wikidata	-1		
26759595	85	communication scholar		0	en	wikidata	-1		
618786	4	inline speed skating	roller sport of racing on inline skates	0	en	wikidata	-1		
30093119	12	senior researcher	professional role	0	en	wikidata	-1		
1553123	93	Lector	academic degree	1	la	wikidata	1	human	
24041571	7	tax inspector	profession	0	la	wikidata	-1		
363802	10	doctoral advisor	Person who supervises the doctoral research of a graduate student	0	ro	wikidata	-1		
2884229	3	Barbouze		0	Unknown	wikidata	-1		
12051030	8	choral conducting		0	en	wikidata	-1		
2518689	71	healer	unlicensed person who practices the art of healing using traditional practices, herbal remedies and even the power of suggestion	1	da	wikidata	1	human	
60286963	10	hermeticist		0	de	wikidata	-1		
59273517	8	photography historian	historian of the art and science of photography	0	en	wikidata	-1		
26903663	29	arts administrator	administrator in the cultural field	0	en	wikidata	-1		
4225125	1	Kobzar	Village in Vasylkivka Raion, Dnipropetrovsk Oblast, Ukraine	1	eo	wikidata	0	human	
4854747	32	bandurist	musician who plays the bandura	0	en	wikidata	-1		
696645	3	Court councillor	title used in the Russian Empire	0	en	wikidata	-1		
3606845	3	agricultural science	academic field	0	en	wikidata	-1		
21002343	50	petroleum engineer	profession	0	nl	wikidata	-1		
10341105	45	sound operator	profession	0	en	wikidata	-1		
1851760	11	victim	person who suffers as a result of a crime or other event	1	ia	wikidata	0	human	
50333861	18	pysankar	ukrainian ethnic occupation, artists that produces pysanka	0	Unknown	wikidata	-1		
673566	2	Mujtahid	title	0	ku	wikidata	-1		
1410729	3	Sheikh-ul-Islam	honorific title in the classical era for outstanding scholars of the Islamic sciences	0	Unknown	wikidata	-1		
936371	8	rhapsode	historical profession	0	br	wikidata	1	human	
53121	11	cycling	riding a bicycle	1	en	wikidata	0	human	
48519	2	sport management	field of education concerning the business aspects of sports and recreation	0	en	wikidata	-1		
27062049	27	aizkolari	person who competes in Aizkolaritza (Basque competitive wood-chopping)	0	id	wikidata	-1		
27062349	35	harri-jasotzailea	basque stone lifter	0	eu	wikidata	-1		
3322355	5	Mugalari	Basque word used to designate people who help others cross the border between France and Spain, mainly for political reason	0	rn	wikidata	-1		
19968805	5	spinner	profession that involves spinning fibres	1	sv	wikidata	1	human	
179098	1	parapsychology	study of paranormal and psychic phenomena	1	en	wikidata	0	human	
8162	19	linguistics	study of human language	1	et	wikidata	0	human	
2385557	1	landscape science	study of terrestrial landscapes	0	en	wikidata	0	human	
10486	6	Pictor	constellation in the southern celestial hemisphere	1	en	wikidata	1	cleanlab	
20056508	35	Ancient Roman senator		0	et	wikidata	-1		
629712	19	consul suffectus		0	la	wikidata	-1		
1255041	6	logothete	administrative title originating in the eastern Roman Empire	0	tr	wikidata	-1		
59597	3	protosyncellus	principal deputy of the bishop of an eparchy	0	ia	wikidata	-1		
496969	3	interpreter officer		0	en	wikidata	-1		
1430627	1	Snake charming	profession	0	en	wikidata	-1		
460628	21	attending physician	attending physician	0	en	wikidata	-1		
12313165	4	attorney-in-fact	person authorized to legally act on behalf of someone else	0	en	wikidata	-1		
2903406	33	Master of Science in Engineering	Graduate degree in engineering	0	en	wikidata	-1		
17048963	1	Advokat	lawyers who practise in the Nordic countries	1	hu	wikidata	1	human	
12311797	9	folkeskole teacher		0	Unknown	wikidata	-1		
159964	7	typography	art and craft of printing and the arranging of layouts	1	kw	wikidata	0	human	
12311817	9	member of the Folketing	member of Danish parliament	0	en	wikidata	-1		
7519600	18	ordination	religious process by which individuals are consecrated as clergy	1	en	wikidata	0	human	
349	19	sport	forms of competitive activity, usually physical	1	nl	wikidata	0	human	
2445218	15	goalkeeper coach		0	en	wikidata	-1		
58686647	1	Museum Management and Curatorship		0	en	wikidata	-1		
20203031	2	Crown rabbi	Russian-Empire Jewish communal position	0	en	wikidata	-1		
2920921	15	management	administration of an organization, including activities to set the strategy of an organization and coordinate employees to accomplish its objectives	1	en	wikidata	0	cleanlab	
327591	34	independent politician	individual not affiliated to any political party	0	en	wikidata	-1		
21546358	17	Chief of Police	Police ranks in Scandinavian countries	0	en	wikidata	-1		
60027184	10	belt maker		0	en	wikidata	-1		
2467532	17	exorcist	person who is believed to be able to cast out the devil or other demons	1	Unknown	wikidata	1	human	
506126	9	chimney sweep	person who cleans chimneys	1	en	wikidata	1	human	
53785835	2	Food Technologist	profession; food technology engineer	0	en	wikidata	-1		
59917804	15	mountain rescuer		0	oc	wikidata	-1		
47498464	6	model builder		0	da	wikidata	-1		
28813	4	fraud	intentional deception made for personal gain or to damage another individual	1	nn	wikidata	0	human	
11639	9	dance	rhythmic movement of the body	1	en	wikidata	0	human	
48575910	17	fireship captain		0	en	wikidata	-1		
679502	10	Armatoloi	ottoman security personnel	0	fi	wikidata	-1		
1969425	28	national team coach		0	en	wikidata	-1		
4830453	22	business	organization involved in commercial, industrial, or professional activity	1	en	wikidata	0	human	
209572	5	military service	Performing the service in the armed forces of a state	0	en	wikidata	-1		
19468152	1	Member of the Kerala Legislative Assembly	political position in India	0	en	wikidata	-1		
71054529	2	balladeer	a singer or reciter of ballads	1	nl	wikidata	1	human	
2251260	138	school inspector	education supervisor	0	en	wikidata	-1		
131375	2	shogi	chess variant native to Japan	1	cs	wikidata	0	human	
21484199	215	ostracodologist	scientist working within the field of ostracodology	0	ia	wikidata	-1		
46984315	43	quilter	person who practises quilting	1	da	wikidata	1	human	
45725048	23	anti-nuclear activist		0	en	wikidata	-1		
2962020	28	station master	person in charge of a railway station	0	en	wikidata	1	human	
718927	13	physician assistant	profession	0	en	wikidata	1	human	
319341	3	notary's assistant	profession, assistant to a notary	0	en	wikidata	-1		
848466	49	courier	Company that performs long-distance or international rapid transports and delivery on behalf of third parties delivering messages, packages, and mail.	1	fr	wikidata	1	human	
1623209	14	Hofmarschall		0	hu	wikidata	-1		
267789	2	Feldzeugmeister		0	Unknown	wikidata	-1		
8313	14	special effects supervisor	individual who works on a commercial, theater, television or film set creating special effects	0	en	wikidata	-1		
11937692	8	Mosso d'Esquadra		0	pt	wikidata	-1		
26697317	1	mayor of Herrín de Campos	political position in Spain	0	es	wikidata	-1		
19513109	73	Dutch language specialist		0	en	wikidata	-1		
3430033	35	abbé	title for lower-ranking Catholic clergymen in France	0	Unknown	wikidata	-1		
45217546	25	Instagram blogger	blogger working on Instagram blog	0	tr	wikidata	-1		
1261521	9	switchboard operator	profession	1	en	wikidata	1	human	
43095928	42	conchologist	zoologist who studies mollusc shells	0	en	wikidata	-1		
2994440	38	Heritage curator		0	ia	wikidata	-1		
685629	2	birdwatching	hobby	1	en	wikidata	0	human	
4182948	4	holder of a chair in a university		0	en	wikidata	-1		
1203797	6	bicycle messenger	craft	1	da	wikidata	1	human	
21491495	61	nematologist	scientist studying nematology	0	tr	wikidata	-1		
12483	2	statistics	study of the collection, organization, analysis, interpretation, and presentation of data	1	ia	wikidata	0	human	
718660	13	Privy Councillor	civil position in the Russian Empire	1	en	wikidata	1	human	
1934482	43	milkmaid	girl or woman employed to milk dairy cows	1	en	wikidata	1	human	
50998292	3	works manager	profession	0	en	wikidata	-1		
16270914	3	Bürstenbinder	Beruf	0	de	wikidata	-1		
18274570	1	Maid of the Bedchamber		0	en	wikidata	-1		
15275006	1	Human Rights Commissioner	New Zealand's Human Rights Commissioner	0	en	wikidata	-1		
10813665	2	Praporshchik		0	cs	wikidata	-1		
20799401	3	Organista	Wikimedia disambiguation page	1	tr	wikidata	0	human	
27057352	123	co-producer	producing member	0	oc	wikidata	-1		
26233771	31	building researcher		0	en	wikidata	-1		
45916492	24	co-founder	co-founder of an institution	0	en	wikidata	1	human	
675913	9	Procuration		0	en	wikidata	-1		
28834881	4	computer animator	animator using computer graphics to create moving images	0	en	wikidata	-1		
16538479	13	Lehrbeauftragter	German academic title; associate lecturer (Lehrbeauftragter)	0	de	wikidata	-1		
191839	1	aerial photography	taking images of the ground from the air	1	fr	wikidata	0	human	
16742203	61	planetary scientist		1	en	wikidata	1	human	
14211	3	Prime Minister of the United Kingdom	head of Her Majesty's Government in the United Kingdom	0	en	wikidata	-1		
22230757	1	Deputy of the National Congress of Ecuador		0	en	wikidata	0	human	
2975883	4	violin making and maintenance		0	en	wikidata	-1		
205178	2	child prodigy	person who, at an early age, develops one or more skills at a level far beyond the norm for their age	0	hu	wikidata	-1		
830337	32	prior	ecclesiastical title for a monastic superior	1	ro	wikidata	1	human	
6859454	141	web developer	programmer who specializes in, or is specifically engaged in, the development of World Wide Web applications	0	en	wikidata	-1		
26936818	116	spongiologist	scientist who studies sponges	0	en	wikidata	-1		
15980704	10	matchmaker	person who engages in matchmaking, sometimes as a profession	1	da	wikidata	1	human	
28790169	15	unemployed	person who doesn't work, but usually has no limitations to get employed	1	fr	wikidata	1	human	
4904039	2	United States Army Rangers		0	en	wikidata	0	human	
1548249	13	software architect	profession	0	en	wikidata	-1		
14620	2	optics	branch of physics concerning light	1	en	wikidata	0	human	
20671815	1	Grand Mestre of the Order of Malta		0	en	wikidata	-1		
28129958	12	design engineer	engineer or technician involved in the planning of technical systems	0	nl	wikidata	-1		
44455	1	game theory	branch of mathematics focused on strategic decision making	0	en	wikidata	-1		
1027930	42	webcam model	video performer who streams online via webcam	0	de	wikidata	-1		
1688932	17	Jiedushi	regional military governor function.	0	Unknown	wikidata	-1		
2994367	20	Councillor of State	position in France	0	en	wikidata	-1		
3408928	2	Maritime Prefect		0	en	wikidata	-1		
2874317	4	bird breeder		0	en	wikidata	-1		
791316	40	avoué	profession	0	fr	wikidata	-1		
2990138	1	Compagnie du chemin de fer métropolitain de Paris		0	fr	wikidata	-1		
2047357	20	trustee	person who holds property, authority, or a position of trust or responsibility for the benefit of another	1	fi	wikidata	1	cleanlab	
20794925	98	college head	administrative head of an educational college	0	en	wikidata	-1		
29167936	23	factory inspector	occupation	0	en	wikidata	-1		
16529590	120	environmental scientist		0	es	wikidata	-1		
1798619	1	Lipscomb University	university in Nashville, Tennessee	0	en	wikidata	0	human	
707995	6	seaman	lowest rank in navy	1	es	wikidata	1	human	
7438308	3	football scout		0	ie	wikidata	-1		
50768646	6	labor leader	leader of labor activists	0	la	wikidata	1	human	
776268	7	arborist	professional who cares for trees	1	de	wikidata	1	human	
540672	1	Auburn University	public university in Auburn, Alabama, United States	0	en	wikidata	-1		
457281	1	University of Illinois at Urbana–Champaign	public research university in Urbana and Champaign, Illinois, United States	0	en	wikidata	-1		
6041302	23	neuropsychologist	person who practices neuropsychology	1	en	wikidata	1	human	
21849766	37	heiress	female beneficiary of an inheritance (in the context of the historical practices of the nobility)	1	en	wikidata	1	human	
6484023	34	land agent	profession	0	fr	wikidata	-1		
13608061	24	registered nurse	nurse who graduated from a nursing program and passed a national licensing exam	1	en	wikidata	1	human	
48145595	3	electrophysiologist	person practicing electrophysiology	1	en	wikidata	1	human	
5230427	27	member of a legislative assembly	representative of voters to a regional legislature	0	en	wikidata	-1		
5683605	3	Maddahi		1	et	wikidata	0	human	
45353897	25	qu writer		0	vi	wikidata	-1		
12592397	1	Minister of Patriots and Veterans Affairs	Minister of Patriots and Veterans Affairs (South Korea)	0	en	wikidata	-1		
16179389	1	Governor of North Jeolla Province	Local government head in South Korea	0	en	wikidata	-1		
53474871	2	satellite engineer	Satellite engineers develop, test and oversee the manufacture of satellite systems and satellite programmes. They may also develop software programs, collect and research data, and test the satellite systems. Satellite engineers can also de	0	nl	wikidata	-1		
654776	2	Sadhu	religious ascetic or holy person in Hinduism	1	Unknown	wikidata	1	human	
1509440	87	embroiderer	professional doing embroidery	1	da	wikidata	1	human	
16271428	58	embryologist	profession	1	en	wikidata	1	human	
4287745	1	medical organization	organization which supports the field of medicine	0	en	wikidata	0	human	
9008257	6	arsonist	person committing arson	1	en	wikidata	1	human	
80019	4	double bass	acoustic stringed instrument of the violin family	0	en	wikidata	-1		
19768301	24	market researcher	profession	0	en	wikidata	1	human	
20879352	4	psephologist	political scientist specializing in the study of elections	1	en	wikidata	1	human	
19772737	2104	political candidate	candidate in an election for political office	0	en	wikidata	-1		
21141393	46	heptathlete	athlete competing in track and field heptathlons	1	cs	wikidata	1	human	
56479336	1	Therapist		1	en	wikidata	1	human	
23663603	31	acupuncturist		1	la	wikidata	1	human	
2737671	9	banderillero		0	Unknown	wikidata	-1		
56027890	6	political staffer	person who supports a political candidate or an elected official	0	en	wikidata	-1		
691522	208	construction foreman	worker or tradesman who is in charge of a construction crew	0	ia	wikidata	-1		
2045507	9	offensive coordinator	coach responsible for the offense on a gridiron football team	1	en	wikidata	1	human	
17014120	1	flight surgeon	military aviation medical examiner	0	en	wikidata	-1		
18922761	8	white hat	computer hacker who hacks ethically	0	de	wikidata	-1		
53868331	1	baton twirler	person engaging in baton twirling	1	oc	wikidata	1	human	
3029421	29	director of publication		0	en	wikidata	-1		
28061729	1	French ambassador		0	en	wikidata	-1		
1416754	13	youth worker	person who works in community support for young people	0	en	wikidata	-1		
3867028	2	Rōkyoku	genre of traditional Japanese narrative singing	0	tr	wikidata	-1		
811449	4	Baul	intangible cultural heritage	1	Unknown	wikidata	0	human	
2329	5	chemistry	branch of physical science concerned with the composition, structure and properties of matter	1	fr	wikidata	0	human	
12080077	2	cotton growing		0	en	wikidata	-1		
2495709	7	Gusans		0	Unknown	wikidata	-1		
23011769	1	Flottillenadmiral		0	es	wikidata	1	human	
7216332	1	forecasting	process of making predictions of the future based on past and present data and most commonly by analysis of trends	1	en	wikidata	0	human	
4229435	34	harvester	someone who brings in the harvest	1	da	wikidata	1	human	
36380	13	Society of Jesus	male religious congregation of the Roman Catholic Church	0	en	wikidata	-1		
2917380	30	fugitive	person who is fleeing from custody	1	ro	wikidata	1	cleanlab	
932821	8	Civil Guard (Spain)	gendarmerie branch of Spain's armed forces	0	Unknown	wikidata	-1		
48975839	19	firearms designer	person who designs firearms	0	en	wikidata	-1		
402781	1	Tutor	Wikimedia disambiguation page	1	gl	wikidata	1	human	
10301984	15	indigenist		0	de	wikidata	-1		
10548383	6	Costume coordinator		0	ie	wikidata	-1		
838260	4	ricohombre		0	es	wikidata	-1		
1344452	21	discoverer	subclass of researcher	1	da	wikidata	1	human	
1247105	1	Singjay		0	Unknown	wikidata	-1		
1369991	10	deejay	"reggae or dancehall musician who sings and ""toasts"" to an instrumental riddim rhythm"	1	Unknown	wikidata	1	human	
50932178	8	religion sociologist	profession	0	en	wikidata	-1		
10655178	11	member of the Swedish Riksdag	member of the Swedish Parliament	0	en	wikidata	-1		
1349660	2	extraction of petroleum	removal of petroleum from the earth	0	en	wikidata	-1		
382844	5	Governor-general	vice-regal representative of a monarch in an independent realm or a major colonial state	0	it	wikidata	1	human	
11494960	37	infectious disease physician	physician specialised in infectiology	0	en	wikidata	-1		
193592	3	midfielder	association football position played on both ends of the field	1	nl	wikidata	1	human	
3580098	25	specialized educator		0	ro	wikidata	-1		
21002290	70	Ingeniero	profession	1	es	wikidata	0	human	
57557390	4	Author	Haider i Mohsin , Academic Writer , Author , Screen Writer	1	en	wikidata	1	human	
3609	9	road bicycle racing	bicycle racing sport	0	en	wikidata	-1		
177529	9	burgomaster	archaic term for a mayor	0	it	wikidata	-1		
38883	25	cooper	maker of staved vessels such as barrels	1	en	wikidata	1	human	
19801630	33	gendarme	member of a gendarmerie	1	fr	wikidata	1	human	
35380338	35	hydrogeologist	earth scientist that studies ground water	1	en	wikidata	1	human	
7099403	2	oral storytelling	tradition between the storyteller and their audience	0	en	wikidata	-1		
1104185	8	coaching	form of development	1	en	wikidata	0	human	
42297530	6	keynote speaker	person who delivers a talk on the main theme of an event	1	en	wikidata	1	cleanlab	
3285472	3	Official receiver		0	en	wikidata	-1		
5354399	1	County magistrate	public office in imperial China	0	en	wikidata	-1		
1248771	3	Praeses	profession	0	gl	wikidata	-1		
178678	2	kickboxing	group of stand-up combat sports based on kicking and punching	1	Unknown	wikidata	0	human	
193432	53	fan	person who is enthusiastically devoted to something or someone	1	az	wikidata	0	human	
1183704	155	decoration painter	profession	0	en	wikidata	-1		
24058676	57	agriculturist	profession concerned with studying and publicising agricultural methods	1	en	wikidata	1	human	
2026557	19	offender profiler		0	da	wikidata	1	human	
1662673	2	gender studies	interdisciplinary field of study	0	en	wikidata	-1		
34749	1	social science	academic discipline concerned with society and the relationships	0	en	wikidata	-1		
9465	1	ethics	branch of philosophy that systematizes, defends, and recommends concepts of right and wrong conduct	1	tr	wikidata	0	human	
913727	1	Rinpoche	honorific used in Tibetan Buddhism	1	es	wikidata	0	human	
7579842	2	sports director	individual at a television or radio station who is in charge of the sports department	0	en	wikidata	-1		
22343406	26	media artist	artist who  works with media	0	sv	wikidata	-1		
56885102	38	sledge hockey player	person who plays sledge hockey	0	en	wikidata	-1		
3659898	7	chief communications officer	head of communications in an organization	0	en	wikidata	-1		
2640734	11	reindeer herding	the practice of herding reindeer in a limited area	1	nl	wikidata	0	human	
55594106	8	rallycross driver	person driving rallycross competitions	0	en	wikidata	-1		
1125292	57	postdoctoral researcher	person professionally conducting research after the completion of their doctoral studies	1	en	wikidata	1	human	
708800	12	medical laboratory scientist	healthcare professional	0	io	wikidata	-1		
4588801	4	government scholar	position awarded by the Parliament of Norway	0	en	wikidata	-1		
23719050	45	boccia player	person playing boccia	0	oc	wikidata	-1		
11606844	9	Buddhist painter	profession	0	en	wikidata	-1		
63765	2	Gokenin	vassal of the shogunate	0	en	wikidata	-1		
11638475	1	Ōmi Shonin		0	Unknown	wikidata	-1		
4376769	24	university president	chief executive officer of a university	0	en	wikidata	-1		
570755	20	dispatcher	communications personnel responsible for receiving and transmitting messages, tracking vehicles and equipment, and recording other important information	1	en	wikidata	1	human	
113109	6	fashion tailor	profession of tailoring, which deals with the design and manufacture of garments	0	en	wikidata	1	human	
1433105	6	corsetmaker	profession	0	Unknown	wikidata	-1		
453181	2	brand management	analysis and planning on how a brand is perceived in the market	0	en	wikidata	-1		
16312408	23	etymologist	person who practices etymology	1	et	wikidata	1	human	
6497044	2	history of literature	The development of writing within civilizations	0	en	wikidata	-1		
2301136	6	Special educator		0	ia	wikidata	-1		
243748	1	bacteriology	study of bacteria	1	en	wikidata	0	human	
21625815	10	melomaniac	person with an abnormal fondness of music	0	it	wikidata	-1		
28344495	12	computer security consultant	profession	0	en	wikidata	-1		
15709480	38	computational biologist		1	en	wikidata	1	human	
42625830	20	prospector	person engaged in small-scall exploration for minerals	1	ro	wikidata	1	human	
1066582	11	fine-art photography	photography genre, created in accordance with the vision of the artist as photographer and with subjective intent	0	en	wikidata	-1		
61387921	4	turntablist	person who creates music by manipulating phonograph records playing on turntables	1	de	wikidata	1	human	
1202190	1	financial engineer	practitioner of financial engineering	0	nl	wikidata	-1		
3526736	1	combinatorial group theory	theory of free groups, and the concept of a presentation of a group by generators and relations.	0	en	wikidata	0	human	
57749966	76	beach handball player	sportsperson who plays beach handball	0	en	wikidata	-1		
1068947	19	chief physician	physician in a senior management position	0	ga	wikidata	-1		
52386692	4	political geographer	scholar whose area of study is political geography	0	en	wikidata	-1		
864826	1	biostratigraphy		0	it	wikidata	-1		
2561741	4	crane driver	occupation	0	en	wikidata	-1		
19315421	1	purchaser		1	oc	wikidata	1	human	
1664236	9	Master of Requests		0	en	wikidata	-1		
1133920	11	minister plenipotentiary		0	ia	wikidata	1	human	
215501	2	pedology	study of soils in their natural environment	0	hu	wikidata	-1		
236979	18	shipbroker	intermediary between shipowners and charterers who use ships to transport cargo, or between buyers and sellers of vessels	1	en	wikidata	1	human	
28053377	2	airline executive	manager for an airline	0	en	wikidata	-1		
11771944	7	civil service	branch of governmental service or employees of a government agency	0	ia	wikidata	0	human	
4120955	2	First Lady of Colombia		0	en	wikidata	-1		
788451	1	author citation	refers to citing the person (or group of people) who validly published a zoological name	0	en	wikidata	-1		
53554997	14	historian of chemistry		0	en	wikidata	-1		
1078096	13	Unlicensed assistive personnel	paraprofessionals who assist with bedside care under the supervision of a registered nurse	0	it	wikidata	-1		
379755	21	arrangement	musical composition in altered form	1	fr	wikidata	0	human	
965834	1	Znamenny chant	musical form	0	br	wikidata	-1		
421706	1	Rich	Wikimedia disambiguation page	1	pl	wikidata	0	human	
57398663	15	administrative lawyer		0	da	wikidata	1	human	
477190	2	postulator	person who guides a cause for beatification or canonization through the judicial processes required by the Roman Catholic Church	1	la	wikidata	1	human	
15055248	1	poruchik	officer rank in the lieutenant's rank group in Slavophone armed forces	0	cs	wikidata	-1		
4076591	4	ballet studies	discipline of dance studies	0	en	wikidata	-1		
59924426	3	oil painter		0	en	wikidata	-1		
15059883	24	eye surgeon	surgeon who performs eye surgery	0	tr	wikidata	-1		
69777789	9	Delftware master	expert maker of Delftware and officieel member of St. Luke guild	0	de	wikidata	-1		
70012103	10	Owner of a Delftware pottery workshop	person who own a Delftware pottery workshop	0	en	wikidata	-1		
4233220	3	master	historic term for a ship's officer	1	da	wikidata	1	cleanlab	
24073542	2	glover	occupation, maker of gloves	1	en	wikidata	1	human	
16009380	5	Procureur de la République	position	0	fr	wikidata	-1		
1062433	7	Chanteuse		1	fr	wikidata	1	human	
180502	1	parasitology	branch of biology that studies parasites, their hosts, and the relationship between them	1	tr	wikidata	0	human	
15928033	3	Actor Singer Giver		0	en	wikidata	-1		
34178	14	theology	study of the nature of God and religious belief	1	en	wikidata	0	human	
9174	3	religion	sacred belief system	1	ia	wikidata	0	human	
181901	1	Romanian Orthodox Church	Christian Orthodox-oriented denomination in Romania	0	en	wikidata	-1		
52231239	56	Archaeologist of the Middle Ages		0	en	wikidata	-1		
